TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;00.017.024/0001-53;2022-06-01;1049310.14;29.132403800000;1059084.65;0.00;0.00;1
FI;00.068.305/0001-35;2022-06-01;38266057.17;29.513595000000;38260549.43;0.00;185.62;6534
FI;00.071.477/0001-68;2022-06-01;11261214571.33;10.657364162000;11260274376.95;15613704.38;218851211.03;125538
FI;00.073.041/0001-08;2022-06-01;12940537.84;30.976409400000;12931394.24;0.00;401923.48;856
FI;00.083.181/0001-67;2022-06-01;16799464849.84;753.110501880000;16799220329.54;0.00;0.00;4
FI;00.089.915/0001-15;2022-06-01;15284753.75;87.180949800000;15227170.93;0.00;0.22;132
FI;00.102.322/0001-41;2022-06-01;50457944.90;5.458401700000;51867038.61;0.00;0.00;1
FI;00.180.995/0001-10;2022-06-01;181559330.28;600.869613000000;181614144.28;18750.00;222610.40;1190
FI;00.185.259/0001-54;2022-06-01;603078287.47;46.175328410000;601544951.03;0.00;0.00;113
FI;00.194.256/0001-87;2022-06-01;6759571975.66;51.769283673000;6759416661.16;30167227.26;17013565.75;38
FI;00.211.294/0001-09;2022-06-01;1515831126.91;24.490332000000;1515628651.52;0.00;12164130.37;9
FI;00.222.725/0001-24;2022-06-01;82197842.47;4013.887759500000;81563845.20;0.00;7436.62;1203
FI;00.222.816/0001-60;2022-06-01;1818007693.59;8488.030326000000;1815020457.82;73200.54;8728543.17;2878
FI;00.280.302/0001-60;2022-06-01;504492591.90;5223.767261600000;505277494.59;226800.00;654644.86;3173
FI;00.306.278/0001-91;2022-06-01;2033649188.79;20.825517900000;2032352527.43;439643.70;2002569.43;7947
FI;00.322.699/0001-06;2022-06-01;2787424474.18;14.723973100000;2785864797.47;353000.00;2452237.45;3337
FI;00.346.750/0001-10;2022-06-01;15123102.24;35.568565205500;15021831.64;0.00;0.00;94
FI;00.360.293/0001-18;2022-06-01;92484851.89;26.471383000000;91789123.30;1424.00;380811.95;5700
FI;00.398.561/0001-90;2022-06-01;159709087.21;191.774682600000;159400111.86;200.00;16875.91;2792
FI;00.400.490/0001-13;2022-06-01;295177860.42;46205.568414300000;294150919.55;0.00;198124.85;2297
FI;00.463.569/0001-93;2022-06-01;24864530.32;2987.178741600000;24364230.20;0.00;0.00;6
FI;00.524.617/0001-06;2022-06-01;96086928.48;11.803797000000;96116368.90;13300.00;800917.04;2647
FI;00.539.553/0001-17;2022-06-01;323462754.33;345.687709570000;320915100.65;746828.24;2437764.32;6023
FI;00.575.922/0001-27;2022-06-01;34260522.79;1176.526148500000;34259376.76;35000.00;71789.77;261
FI;00.598.452/0001-17;2022-06-01;26987058.47;419.541329000000;26850497.23;501764.76;66914.29;215
FI;00.601.692/0001-23;2022-06-01;151331265.05;7075.261601230000;151078139.43;5000.00;33308.69;2242
FI;00.638.573/0001-45;2022-06-01;39976332.80;248.803178000000;40007266.96;0.00;0.00;7
FI;00.743.026/0001-20;2022-06-01;88710271.47;20.935180000000;88182051.89;129070.00;106523.24;1729
FI;00.756.851/0001-69;2022-06-01;4636572274.52;23.015872165000;4636224737.72;145673.19;10274193.79;231446
FI;00.777.815/0001-81;2022-06-01;159478026.82;33.122448600000;159432577.94;103682.21;309697.96;4539
FI;00.785.365/0001-79;2022-06-01;55185447.64;3.064952000000;54868949.26;0.00;515.50;19617
FI;00.793.947/0001-05;2022-06-01;62312809.09;17.495337700000;63783544.68;29011.04;18470.43;4620
FI;00.809.773/0001-13;2022-06-01;92304240.15;7.306767400000;95690360.37;12820681.01;6160564.10;66
FI;00.812.433/0001-41;2022-06-01;2351863152.81;9.701960000000;2519915764.07;134944835.26;596164587.20;52023
FI;00.813.340/0001-31;2022-06-01;50061317.30;1323.302551700000;49741103.99;0.00;1048.90;16444
FI;00.813.342/0001-20;2022-06-01;854145057.36;3116.202670300000;847791627.03;122050.00;2605677.25;4096
FI;00.817.201/0001-86;2022-06-01;17520728.92;188.361797000000;17577018.67;0.00;49131.66;1043
FI;00.817.677/0001-17;2022-06-01;346446468.11;39980.097905900000;345112472.85;347372.48;1089328.00;511
FI;00.819.855/0001-49;2022-06-01;1277305.95;7.741589900000;1287604.68;0.00;100.00;147
FI;00.819.858/0001-82;2022-06-01;1320840.00;21.209027800000;1310661.47;0.00;0.00;404
FI;00.819.875/0001-10;2022-06-01;198090046.87;36363.890668500000;198069392.44;0.00;92993.70;7
FI;00.819.880/0001-22;2022-06-01;31971293.37;12.463473000000;31981498.44;52650.00;0.00;223
FI;00.819.889/0001-33;2022-06-01;83839831.51;16769.635135300000;84379461.87;179915.00;58372.36;1840
FI;00.819.901/0001-00;2022-06-01;4336021.23;15.933257300000;4293486.48;0.00;0.00;573
FI;00.819.915/0001-23;2022-06-01;126438546.05;31.494619300000;125246559.87;55140.00;103532.08;1065
FI;00.819.929/0001-47;2022-06-01;11783880.59;20.594641500000;11680774.98;0.00;2192.96;663
FI;00.822.055/0001-87;2022-06-01;98582760193.88;46.318030559000;98581747140.73;3226000.00;0.00;1
FI;00.822.059/0001-65;2022-06-01;167789253.32;8.323695452000;166215983.02;133408.81;611658.59;6779
FI;00.822.954/0001-80;2022-06-01;484730221.18;13.330258000000;484451653.22;2513300.00;11021222.62;287
FI;00.824.198/0001-28;2022-06-01;70244695.62;27280.438260000000;71509170.98;1050610.10;228327.43;625
FI;00.825.076/0001-56;2022-06-01;976743.19;6.433382200000;1016128.78;0.00;0.00;237
FI;00.825.077/0001-09;2022-06-01;5936066.97;23.665801100000;5939139.84;0.00;0.00;286
FI;00.826.901/0001-37;2022-06-01;31822017.66;88.679915700000;31618474.17;0.00;0.00;168
FI;00.826.907/0001-04;2022-06-01;30939905.80;2833.510487000000;30725170.01;0.00;0.00;155
FI;00.826.911/0001-72;2022-06-01;7646239.16;1726.494576000000;7665853.56;0.00;0.53;710
FI;00.828.035/0001-13;2022-06-01;20006780.78;35.583167620000;19832375.87;0.00;3763.21;143
FI;00.828.941/0001-18;2022-06-01;3528003.64;160.213816000000;3543939.88;0.00;5.11;664
FI;00.829.163/0001-81;2022-06-01;8465159.75;3260.871140000000;8474022.41;0.00;0.00;55
FI;00.829.280/0001-45;2022-06-01;2970815961.62;35722.576317000000;2972472584.35;2984810.98;5811457.18;14
FI;00.829.282/0001-34;2022-06-01;27127219.02;21837.645702000000;27209372.21;3000.00;7000.05;134
FI;00.829.288/0001-01;2022-06-01;2665038998.10;347.886006000000;2647973800.48;6969309.55;13381161.14;2473
FI;00.829.292/0001-70;2022-06-01;798466905.73;32456.053822000000;792946648.04;889156.36;911150.15;140
FI;00.832.407/0001-85;2022-06-01;5865603076.63;3815.270426000000;5867246431.33;4917740.78;13142000.86;11
FI;00.832.414/0001-87;2022-06-01;723382476.07;2193.559507000000;718198269.74;35286.00;24142375.57;1485
FI;00.832.424/0001-12;2022-06-01;3422681.01;1756.758547000000;3440901.96;0.00;67079.87;256
FI;00.832.431/0001-14;2022-06-01;32326193.69;2252.152722000000;32333270.33;37879.37;37977.26;1151
FI;00.832.435/0001-00;2022-06-01;2428087598.70;3512.483789000000;2415105427.53;12035702.34;5308824.05;279
FI;00.832.443/0001-49;2022-06-01;45205982.84;3306.459296000000;44963857.53;0.00;6019.16;53
FI;00.832.445/0001-38;2022-06-01;316899171.89;1735.568518000000;314739471.22;0.00;1208669.63;834
FI;00.832.453/0001-84;2022-06-01;4763902.71;30.118332500000;4723568.71;0.00;3000.25;30
FI;00.832.587/0001-03;2022-06-01;70682778.65;28.008125710000;70682778.65;40500.00;8840.43;826
FI;00.832.588/0001-40;2022-06-01;32701672.57;4.850512837000;32701672.57;19537.38;213344.04;1170
FI;00.832.696/0001-12;2022-06-01;32388079.13;33497.834074200000;32194542.79;0.00;60.10;86
FI;00.834.072/0001-34;2022-06-01;164419600.80;19.641024000000;164402541.87;187841.19;156729.93;12815
FI;00.834.074/0001-23;2022-06-01;34289758046.53;6.331638000000;34282667295.03;420796359.27;777491333.88;16595
FI;00.836.258/0001-22;2022-06-01;163019222.43;51.491920400000;163064906.10;0.00;0.00;1
FI;00.836.263/0001-35;2022-06-01;156439135.26;17.491954772000;155938209.97;6026000.00;6179.19;1735
FI;00.838.266/0001-08;2022-06-01;8046747.80;19.772198150000;7990448.01;1050.00;0.00;216
FI;00.838.267/0001-52;2022-06-01;873979453.90;8.577262550000;969205247.53;28284510.53;29211069.66;14986
FI;00.838.269/0001-41;2022-06-01;131522754.00;21.452321340000;131495964.43;1940797.34;0.00;90
FI;00.838.868/0001-65;2022-06-01;5562253.62;32.105581000000;5553245.71;0.00;0.00;2
FI;00.840.008/0001-66;2022-06-01;68052823.88;35.431884000000;67291580.70;185000.00;4254.63;1132
FI;00.840.011/0001-80;2022-06-01;2941811259.36;34.470399100000;2942679957.55;48706198.76;44381789.57;14070
FI;00.842.960/0001-07;2022-06-01;41345907.30;30.750530900000;41335689.53;0.00;10016.24;318
FI;00.846.898/0001-13;2022-06-01;31326706.10;17.274260400000;31332588.51;0.00;0.00;4
FI;00.849.567/0001-37;2022-06-01;68597256.61;96554.493847900000;69332206.04;0.00;0.00;3
FI;00.852.311/0001-89;2022-06-01;24718893811.88;22.289486800000;24718562816.13;48136793.45;55537423.30;59
FI;00.856.171/0001-17;2022-06-01;141832924.17;26.257628200000;141826992.30;0.00;0.00;1
FI;00.856.751/0001-04;2022-06-01;681435628.79;7888.765980000000;681328733.47;0.00;0.00;1
FI;00.856.755/0001-92;2022-06-01;1621285035.67;3481.990237100000;1609883102.40;7633862.76;6548470.74;8724
FI;00.857.361/0001-59;2022-06-01;8530422.61;60.928437200000;8537248.04;0.00;0.00;103
FI;00.885.758/0001-54;2022-06-01;32114644.07;18.225531900000;31925125.11;0.00;0.00;7
FI;00.885.760/0001-23;2022-06-01;114666426.72;8.846688100000;114522161.84;22062.01;152142.87;15979
FI;00.885.762/0001-12;2022-06-01;638720213.99;23.440200500000;638552983.84;14059.67;4354149.02;247
FI;00.888.897/0001-31;2022-06-01;35282210.85;42.978511200000;35447246.47;152169.30;5349.40;456
FI;00.893.531/0001-50;2022-06-01;146377921.77;3434.524869400000;146365011.81;0.00;0.00;1
FI;00.906.044/0001-85;2022-06-01;389864985.75;399.077028130000;389861342.20;0.00;0.00;173
FI;00.947.958/0001-94;2022-06-01;108252907.53;60.092420040000;108115505.10;53398.20;71021.84;1554
FI;00.970.059/0001-02;2022-06-01;61868753.79;31.166461900000;64848618.92;0.00;8261.06;38
FI;00.970.074/0001-50;2022-06-01;10288449579.73;34.758290400000;10288035605.42;20682986.12;1975154.83;39
FI;00.973.117/0001-51;2022-06-01;45949055.10;358.410170000000;45847580.90;0.00;0.00;26
FI;00.974.902/0001-29;2022-06-01;481934871.84;53.823974430000;474545233.71;0.00;0.00;1
FI;00.975.480/0001-06;2022-06-01;462627423.37;33.286502200000;462564878.80;605546.66;111510.49;84
FI;00.977.449/0001-04;2022-06-01;507224102.14;1633.687351800000;507202767.77;0.00;0.00;1
FI;00.979.181/0001-40;2022-06-01;2247408.31;626.213068400000;2253492.07;0.00;0.00;2126
FI;00.982.697/0001-43;2022-06-01;84818687.73;16.226378306000;84814132.75;0.00;0.00;0
FI;00.996.200/0001-46;2022-06-01;44397870.99;13.057463200000;44411734.38;0.00;434.40;2
FI;01.045.435/0001-15;2022-06-01;1285558.39;16.749325400000;1275242.63;0.00;0.00;93
FI;01.045.437/0001-04;2022-06-01;2711377.81;16.662638500000;2706558.24;0.00;3000.00;89
FI;01.063.897/0001-65;2022-06-01;764879191.74;139.981656000000;762107504.22;798.56;2354772.44;17988
FI;01.069.185/0001-53;2022-06-01;30953022.64;812.543622000000;30940110.88;13851.44;0.00;1
FI;01.071.664/0001-04;2022-06-01;9636802.45;115.123999490000;9629571.36;0.00;0.00;7
FI;01.099.040/0001-03;2022-06-01;23220402.97;29.559991000000;23157551.49;0.00;0.00;2
FI;01.103.103/0001-40;2022-06-01;7218722.30;11.345218500000;7215866.62;0.00;0.00;3
FI;01.107.772/0001-90;2022-06-01;47581914.00;30.730315700000;47583056.80;0.00;429759.51;159
FI;01.111.801/0001-97;2022-06-01;940046333.95;32.722928000000;939510096.87;0.00;0.00;3
FI;01.114.310/0001-08;2022-06-01;50029370.03;18.273418900000;50016541.20;0.00;99597.15;3593
FI;01.129.004/0001-37;2022-06-01;22791109299.69;290.204422000000;22694923988.91;217278371.99;213066263.23;12252
FI;01.135.345/0001-15;2022-06-01;131019201.56;116.186972000000;131090337.02;200.00;1030679.46;2679
FI;01.147.626/0001-98;2022-06-01;170646713.60;9.287700977500;170194825.78;0.00;0.00;5
FI;01.147.641/0001-36;2022-06-01;873670204.31;32.572803400000;873618990.69;0.00;0.00;1
FI;01.165.780/0001-92;2022-06-01;3039490671.99;26.683239000000;3039705375.98;0.00;28893243.62;5
FI;01.165.781/0001-37;2022-06-01;2932965806.08;20.674925000000;2932587669.06;3428803.10;5975114.95;29399
FI;01.165.788/0001-59;2022-06-01;83441982.08;25.582873416000;83446333.65;0.00;6260000.00;1
FI;01.165.792/0001-17;2022-06-01;43508263.72;12.945900000000;43506439.11;0.00;0.00;6
FI;01.165.796/0001-03;2022-06-01;43524376.46;9.527374000000;43519591.57;0.00;182845.77;2274
FI;01.171.956/0001-19;2022-06-01;6339733.60;6.557374400000;6348348.81;0.00;0.00;241
